model	subword_pooling	layer_pooling	dev_acc	test_acc
huBERT	first	3	0.9644795263936852	0.965029020343554
huBERT	first	3	0.96468266635712	0.9655859764319634
huBERT	first	3	0.965117966278766	0.96529284164859
huBERT	last	3	0.9706027452915058	0.9695432960075042
huBERT	last	3	0.969529005484779	0.9687811455707336
huBERT	last	3	0.9707188252706116	0.9698364307908776
mBERT	first	7	0.9448910299196146	0.9437474350706456
mBERT	first	7	0.9451812298673786	0.9435715542006214
mBERT	first	7	0.9450941698830494	0.9444802720290788
mBERT	last	6	0.9578919875794424	0.955795274667292
mBERT	last	6	0.9573696276734672	0.9547106759688104
mBERT	last	6	0.9567892277779392	0.9543882277070996
XLM-RoBERTa	first	7	0.9595461272816972	0.9595767133728088
XLM-RoBERTa	first	7	0.9581821875272064	0.9577006507592192
XLM-RoBERTa	first	7	0.9595751472764736	0.9592835785894356
XLM-RoBERTa	last	5	0.9662207260802692	0.9640909890367588
XLM-RoBERTa	last	5	0.9653501262369772	0.9642961833851204
XLM-RoBERTa	last	5	0.9653211062422008	0.9651755877352408
XLM-MLM-100	first	9	0.9477930293972548	0.9487014129096558
XLM-MLM-100	first	9	0.9485475492614412	0.9492583689980651
XLM-MLM-100	first	9	0.9486346092457704	0.9482030837779212
XLM-MLM-100	last	10	0.9479671493659132	0.9469719176877528
XLM-MLM-100	last	10	0.9478510693868076	0.9453303629008618
XLM-MLM-100	last	10	0.9478510693868076	0.9458873189892713
distil-mBERT	first	4	0.9193534345163816	0.9173946180453773
distil-mBERT	first	4	0.9187730346208538	0.9183619628305094
distil-mBERT	first	4	0.9168867349603878	0.9171307967403411
distil-mBERT	last	4	0.9374909312516324	0.9359793633112504
distil-mBERT	last	4	0.9373458312777504	0.9349827050477808
distil-mBERT	last	4	0.9385936910531356	0.9361845576596118
