model	subword_pooling	layer_pooling	dev_acc	dev_f1	test_acc	test_f1
huBERT	first	0	0.9838355442326276	0.7406199021207177	0.9664526629894205	0.5613191343181038
huBERT	first	0	0.9835719933233772	0.741042345276873	0.967673388190614	0.5681581685744016
huBERT	first	0	0.983747693929544	0.7400162999185005	0.967402115923682	0.5715280194918203
huBERT	first	1	0.9898093648423087	0.8333333333333331	0.9801067004249931	0.7152906330988522
huBERT	first	1	0.9905121672669772	0.8460236886632826	0.9813274256261868	0.7405182125422456
huBERT	first	1	0.9905121672669772	0.8414839797639123	0.9808300931368116	0.7165616895146351
huBERT	first	10	0.9968373890889924	0.9524647887323944	0.9930825571932362	0.9046669325887514
huBERT	first	10	0.9970130896951594	0.954225352112676	0.9932181933267022	0.916
huBERT	first	10	0.9965738381797418	0.9463500439753736	0.9936703137715888	0.9190705128205128
huBERT	first	11	0.996134586664324	0.9411764705882352	0.9930373451487476	0.9056904098686828
huBERT	first	11	0.9966616884828252	0.954225352112676	0.9932634053711908	0.9130781499202552
huBERT	first	11	0.9962224369674076	0.9473684210526316	0.992087892214486	0.902023006743356
huBERT	first	12	0.9956953351489064	0.9403508771929824	0.991816619947554	0.8894154818325433
huBERT	first	12	0.9951682333304048	0.9308836395450568	0.9914097115471562	0.894695170229612
huBERT	first	12	0.9958710357550734	0.9377738825591584	0.9910028031467584	0.8765723270440251
huBERT	first	2	0.993411227268734	0.8961937716262975	0.9864815986978932	0.8241206030150755
huBERT	first	2	0.9931476763594834	0.8762886597938143	0.9866624468758476	0.8109356950327301
huBERT	first	2	0.9929719757533164	0.8799313893653516	0.986752870964825	0.8103315343099459
huBERT	first	3	0.9950803830273216	0.9154315605928508	0.9905958947463605	0.8716136631330977
huBERT	first	3	0.9952560836334884	0.9325153374233128	0.9909575911022696	0.8715127701375246
huBERT	first	3	0.9949046824211544	0.9189189189189187	0.9912740754136902	0.8866956178444533
huBERT	first	4	0.9959588860581567	0.9335664335664334	0.9921331042589746	0.8972629908766363
huBERT	first	4	0.9957831854519898	0.9343832020997374	0.9925852247038612	0.9099601593625498
huBERT	first	4	0.9959588860581567	0.943859649122807	0.9925852247038612	0.8998410174880763
huBERT	first	5	0.9959588860581567	0.9463500439753736	0.9924495885703952	0.9053892215568864
huBERT	first	5	0.9963102872704912	0.9524647887323944	0.9929921331042588	0.9174311926605504
huBERT	first	5	0.9962224369674076	0.9465381244522348	0.9932634053711908	0.9093799682034976
huBERT	first	6	0.9967495387859088	0.9464442493415276	0.9932181933267022	0.9149277688603532
huBERT	first	6	0.996925239392076	0.9490333919156416	0.9938059499050548	0.9097444089456868
huBERT	first	6	0.9967495387859088	0.9524647887323944	0.9932634053711908	0.9198075380914196
huBERT	first	7	0.9971009399982428	0.9569041336851364	0.993896373994032	0.9171005206247496
huBERT	first	7	0.996925239392076	0.9586631486367634	0.9935798896826116	0.9201124046567644
huBERT	first	7	0.9970130896951594	0.9543859649122808	0.9939415860385208	0.9262988320579943
huBERT	first	8	0.9973644909074936	0.9628975265017669	0.9942580703499412	0.9272215520707678
huBERT	first	8	0.9975401915136608	0.9628975265017669	0.9938511619495434	0.9164658634538152
huBERT	first	8	0.9973644909074936	0.9663120567375888	0.9945293426168732	0.9282258064516128
huBERT	first	9	0.9973644909074936	0.9603524229074892	0.9940772221719866	0.9189406099518458
huBERT	first	9	0.9971887903013266	0.9638128861429832	0.9934894655936342	0.913322632423756
huBERT	first	9	0.9971887903013266	0.962962962962963	0.993896373994032	0.9171668667466986
huBERT	last	0	0.9697794957392604	0.6701388888888888	0.9480965729270278	0.499414748341787
huBERT	last	0	0.9706579987700956	0.6741963509991311	0.9482774211049824	0.5029285435376807
huBERT	last	0	0.9699551963454274	0.6746575342465754	0.9485486933719144	0.5062305295950156
huBERT	last	1	0.9930598260564	0.8898525585429314	0.9845826928293696	0.7854657904909161
huBERT	last	1	0.9926205745409822	0.8807658833768494	0.9844470566959038	0.7899419729206963
huBERT	last	1	0.9925327242378986	0.8769497400346621	0.985080025318745	0.7882307394502516
huBERT	last	10	0.9963981375735746	0.9487632508833922	0.9938511619495434	0.9186372745490982
huBERT	last	10	0.9966616884828252	0.9522968197879856	0.9945293426168732	0.9256131885806193
huBERT	last	10	0.99727664060441	0.9584438549955792	0.9944389185278958	0.9254933548127264
huBERT	last	11	0.9962224369674076	0.9522968197879856	0.9934894655936342	0.9130957148578296
huBERT	last	11	0.9963102872704912	0.9462555066079296	0.9935798896826116	0.916030534351145
huBERT	last	11	0.9955196345427392	0.9340369393139842	0.993353829460168	0.9052379048380648
huBERT	last	12	0.9963981375735746	0.9644760213143873	0.9929017090152816	0.9156626506024096
huBERT	last	12	0.9959588860581567	0.948853615520282	0.9927208608373272	0.9158953722334005
huBERT	last	12	0.9959588860581567	0.950530035335689	0.9925852247038612	0.9109069117059528
huBERT	last	2	0.995343933936572	0.932396839332748	0.9907315308798263	0.8610675039246468
huBERT	last	2	0.9956074848458228	0.9332161687170476	0.9903698345239172	0.8528834837191055
huBERT	last	2	0.9956953351489064	0.9290096406660824	0.990912379057781	0.8590498625834315
huBERT	last	3	0.9962224369674076	0.9454225352112676	0.9933990415046569	0.905464698843239
huBERT	last	3	0.9963102872704912	0.9402460456942004	0.9932181933267022	0.8954869358669834
huBERT	last	3	0.9967495387859088	0.9506172839506172	0.9933990415046569	0.9048945483485874
huBERT	last	4	0.9964859878766582	0.9480176211453746	0.9936703137715888	0.9091636654661864
huBERT	last	4	0.9963102872704912	0.9461606354810238	0.9940772221719866	0.9167333867093675
huBERT	last	4	0.9968373890889924	0.950530035335689	0.9942128583054526	0.9151321056845476
huBERT	last	5	0.9973644909074936	0.9698581560283688	0.9946649787503392	0.9334409035901572
huBERT	last	5	0.9971887903013266	0.9619805481874448	0.9941224342164752	0.9271629778672033
huBERT	last	5	0.9971887903013266	0.9610619469026548	0.9944389185278958	0.9294639258363564
huBERT	last	6	0.99727664060441	0.9575221238938052	0.9947101907948276	0.9319371727748692
huBERT	last	6	0.9971887903013266	0.9539823008849558	0.9943484944389184	0.923694779116466
huBERT	last	6	0.9974523412105772	0.9618456078083408	0.9947554028393164	0.9260450160771704
huBERT	last	7	0.99727664060441	0.960923623445826	0.9953883714621576	0.9394184168012925
huBERT	last	7	0.9966616884828252	0.9548272807794508	0.9947101907948276	0.926731078904992
huBERT	last	7	0.9974523412105772	0.9662522202486676	0.9948006148838052	0.9303262182843334
huBERT	last	8	0.99727664060441	0.9618456078083408	0.9948910389727824	0.9308681672025724
huBERT	last	8	0.9968373890889924	0.9522123893805308	0.9946197667058504	0.9285425918449738
huBERT	last	8	0.9968373890889924	0.952127659574468	0.9944841305723844	0.928600242033078
huBERT	last	9	0.9970130896951594	0.9557522123893806	0.993896373994032	0.919549477071601
huBERT	last	9	0.9967495387859088	0.9531388152077808	0.9935798896826116	0.9117882919005612
huBERT	last	9	0.9970130896951594	0.9619131975199292	0.9940772221719866	0.925686591276252
mBERT	first	0	0.9842747957480452	0.7542857142857141	0.9651415136992496	0.5518672199170125
mBERT	first	0	0.9834841430202934	0.7378640776699029	0.9652771498327154	0.5445134575569357
mBERT	first	0	0.9831327418079592	0.735483870967742	0.9635590921421466	0.5302927161334241
mBERT	first	1	0.9868224545374682	0.7800829875518673	0.9722398046839678	0.6249105225483178
mBERT	first	1	0.9870860054467188	0.7890365448504983	0.9703861108599332	0.6047988708539167
mBERT	first	1	0.9883159096898884	0.8056713928273561	0.9740030744190252	0.6388489208633092
mBERT	first	10	0.9963981375735746	0.95171202809482	0.992223528347952	0.891977760127085
mBERT	first	10	0.9960467363612404	0.9464442493415276	0.9922687403924404	0.8846459824980112
mBERT	first	10	0.9962224369674076	0.9447852760736196	0.9927208608373272	0.8977635782747604
mBERT	first	11	0.9958710357550734	0.9487632508833922	0.9920426801699972	0.8937699680511182
mBERT	first	11	0.9959588860581567	0.9420035149384886	0.9924495885703952	0.9001597444089458
mBERT	first	11	0.9952560836334884	0.93568281938326	0.9913644995026676	0.8788598574821852
mBERT	first	12	0.9943775806026532	0.9230769230769232	0.9896916538565874	0.8578161822466613
mBERT	first	12	0.9947289818149871	0.9335664335664334	0.9902341983904512	0.8671383647798742
mBERT	first	12	0.9948168321180708	0.9307624890446976	0.9907767429243152	0.8772763262074426
mBERT	first	2	0.9910392690854783	0.8712702472293266	0.9796997920245952	0.7196715192235908
mBERT	first	2	0.9915663709039796	0.8666666666666666	0.9804231847364138	0.7212257100149478
mBERT	first	2	0.991127119388562	0.8610400682011936	0.9795189438466408	0.7092675635276531
mBERT	first	3	0.9943775806026532	0.9181184668989548	0.9871597793652228	0.8373540856031128
mBERT	first	3	0.994201879996486	0.9109947643979056	0.987657111854598	0.8286047415468325
mBERT	first	3	0.9942897302995696	0.908616187989556	0.9872049914097116	0.821166473541908
mBERT	first	4	0.9955196345427392	0.9388111888111887	0.9895560177231214	0.8618654073199528
mBERT	first	4	0.9954317842396556	0.9411764705882352	0.98960122976761	0.8586057502953918
mBERT	first	4	0.9950803830273216	0.934268185801928	0.990008138168008	0.8653770232925385
mBERT	first	5	0.9952560836334884	0.9349736379613356	0.9920426801699972	0.8917197452229298
mBERT	first	5	0.9952560836334884	0.9368421052631578	0.9906411067908492	0.8804131903059198
mBERT	first	5	0.9954317842396556	0.939526730937774	0.9903698345239172	0.8753968253968254
mBERT	first	6	0.9968373890889924	0.9674008810572688	0.9929469210597704	0.9131134352373292
mBERT	first	6	0.9960467363612404	0.9516270888302548	0.9923139524369292	0.9018822587104526
mBERT	first	6	0.996134586664324	0.9533861037818822	0.9927660728818156	0.9101123595505618
mBERT	first	7	0.9963981375735746	0.9501312335958004	0.9929469210597704	0.916331456154465
mBERT	first	7	0.9965738381797418	0.9612676056338028	0.9924948006148838	0.9050861033239888
mBERT	first	7	0.996134586664324	0.9559859154929576	0.9927208608373272	0.9052969502407704
mBERT	first	8	0.9957831854519898	0.95171202809482	0.9929469210597704	0.9022435897435896
mBERT	first	8	0.9964859878766582	0.9568281938325992	0.992856496970793	0.9037690457097032
mBERT	first	8	0.9963102872704912	0.9526315789473684	0.9921783163034632	0.90087929656275
mBERT	first	9	0.9960467363612404	0.9514563106796116	0.9923591644814178	0.8985623003194889
mBERT	first	9	0.9964859878766582	0.958590308370044	0.9925852247038612	0.8974870362983647
mBERT	first	9	0.9962224369674076	0.9560632688927944	0.991680983814088	0.8825396825396826
mBERT	last	0	0.9734692084687692	0.7021276595744681	0.947418392259698	0.5252117789431222
mBERT	last	0	0.974874813318106	0.7172167707404103	0.9481417849715164	0.518667201926937
mBERT	last	0	0.9726785557410174	0.7060931899641577	0.9461524550140156	0.5185487158581329
mBERT	last	1	0.9838355442326276	0.7595155709342561	0.9674473279681708	0.6130997715156131
mBERT	last	1	0.984714047263463	0.7760416666666666	0.9668143593453296	0.6094584286803968
mBERT	last	1	0.9844504963542124	0.7740259740259742	0.9674473279681708	0.6112170927127052
mBERT	last	10	0.996134586664324	0.9487632508833922	0.9930373451487476	0.9021651964715316
mBERT	last	10	0.9963102872704912	0.9514563106796116	0.9932181933267022	0.9066132264529058
mBERT	last	10	0.9962224369674076	0.9479258605472196	0.9934442535491456	0.904438224710116
mBERT	last	11	0.9960467363612404	0.9511978704525288	0.9923591644814178	0.8971588635454181
mBERT	last	11	0.9962224369674076	0.949512843224092	0.9926304367483496	0.9007205764611692
mBERT	last	11	0.9963102872704912	0.950530035335689	0.9931277692377248	0.9050861033239888
mBERT	last	12	0.9955196345427392	0.9424269264836138	0.990912379057781	0.8785344484269214
mBERT	last	12	0.9962224369674076	0.949512843224092	0.9911384392802244	0.8793650793650793
mBERT	last	12	0.996134586664324	0.9528888888888892	0.9907767429243152	0.8782816229116945
mBERT	last	2	0.9913906702978126	0.8845814977973568	0.9817795460710732	0.7619047619047621
mBERT	last	2	0.9915663709039796	0.8795074758135445	0.9815082738041414	0.7578864353312301
mBERT	last	2	0.9907757181762276	0.8717948717948718	0.9806040329143684	0.7478397486252947
mBERT	last	3	0.9960467363612404	0.9417989417989416	0.9893751695451668	0.8548770816812052
mBERT	last	3	0.996134586664324	0.9477413640389726	0.989872502034542	0.8630408892417625
mBERT	last	3	0.9962224369674076	0.9434628975265018	0.9890134731892576	0.8447596532702916
mBERT	last	4	0.9956953351489064	0.9433628318584072	0.9910028031467584	0.8761449621664676
mBERT	last	4	0.9959588860581567	0.9434628975265018	0.9903246224794284	0.8702229299363058
mBERT	last	4	0.9963102872704912	0.950530035335689	0.9911384392802244	0.8776806989674344
mBERT	last	5	0.9964859878766582	0.9522968197879856	0.9914549235916448	0.8821656050955415
mBERT	last	5	0.9964859878766582	0.9531388152077808	0.991680983814088	0.8865814696485624
mBERT	last	5	0.9964859878766582	0.9514563106796116	0.9921783163034632	0.8977135980746088
mBERT	last	6	0.9966616884828252	0.9627659574468084	0.9930825571932362	0.9077786688051324
mBERT	last	6	0.996925239392076	0.9671694764862468	0.9925400126593724	0.9023218574859888
mBERT	last	6	0.9967495387859088	0.9584438549955792	0.9927660728818156	0.9028388644542183
mBERT	last	7	0.996925239392076	0.9663120567375888	0.9934894655936342	0.907704654895666
mBERT	last	7	0.9964859878766582	0.9566755083996464	0.9929921331042588	0.9003984063745019
mBERT	last	7	0.9968373890889924	0.9645390070921984	0.9932181933267022	0.9072
mBERT	last	8	0.996925239392076	0.96113074204947	0.9939415860385208	0.912730184147318
mBERT	last	8	0.9966616884828252	0.9565217391304348	0.9939415860385208	0.9155948553054662
mBERT	last	8	0.9965738381797418	0.9653333333333332	0.9936703137715888	0.9122244488977956
mBERT	last	9	0.996925239392076	0.9575971731448762	0.9936251017271	0.9106928313976772
mBERT	last	9	0.9963102872704912	0.9547471162377994	0.9936251017271	0.9071916432302132
mBERT	last	9	0.9963102872704912	0.9469964664310956	0.9933990415046569	0.9111289031224982
XLM-RoBERTa	first	0	0.9829570412017922	0.7549342105263158	0.9670404195677728	0.5765829501238061
XLM-RoBERTa	first	0	0.9832205921110428	0.7543138866064091	0.9659101184555564	0.5646401118099231
XLM-RoBERTa	first	0	0.9831327418079592	0.7510271158586689	0.9673116918347048	0.5633111189056471
XLM-RoBERTa	first	1	0.985328999385048	0.7660626029654037	0.9701148385930012	0.6008583690987125
