model	subword_pooling	layer_pooling	dev_acc	test_acc
huBERT	first	0	0.895340690138378	0.884666921898928
huBERT	first	0	0.895340690138378	0.8839012251148545
huBERT	first	0	0.8961289192503066	0.8860068912710567
huBERT	first	1	0.9389560343317568	0.9285987748851456
huBERT	first	1	0.9368540900332808	0.9281202143950996
huBERT	first	1	0.9376423191452092	0.9297473200612556
huBERT	first	2	0.9571728849185496	0.9484111791730476
huBERT	first	2	0.9556840077071292	0.949751148545176
huBERT	first	2	0.9578735330180416	0.9512825421133232
huBERT	first	3	0.9621650026274304	0.9601837672281776
huBERT	first	3	0.9622525836398668	0.9612366003062788
huBERT	first	3	0.9618146785776844	0.9607580398162328
huBERT	first	4	0.9615519355403748	0.9574081163859112
huBERT	first	4	0.9618146785776844	0.9581738131699848
huBERT	first	4	0.9603258013662638	0.9554938744257274
huBERT	first	5	0.9597127342792082	0.957312404287902
huBERT	first	5	0.9597127342792082	0.9572166921898928
huBERT	first	5	0.9584866001050972	0.957312404287902
huBERT	first	6	0.9590996671921528	0.956833843797856
huBERT	first	6	0.9594499912418988	0.9569295558958651
huBERT	first	6	0.9585741811175336	0.9559724349157732
huBERT	first	7	0.957610789980732	0.9541539050535988
huBERT	first	7	0.957260465930986	0.954249617151608
huBERT	first	7	0.9590996671921528	0.955781010719755
huBERT	first	8	0.9557715887195656	0.9512825421133232
huBERT	first	8	0.9556840077071292	0.95166539050536
huBERT	first	8	0.954983359607637	0.9496554364471668
huBERT	first	9	0.9519180241723594	0.9473583460949464
huBERT	first	9	0.9514801191101768	0.9490811638591118
huBERT	first	9	0.95165528113505	0.946688361408882
huBERT	first	10	0.9487651077246452	0.9452526799387444
huBERT	first	10	0.950954633035558	0.94458269525268
huBERT	first	10	0.9489402697495184	0.9438169984686064
huBERT	first	11	0.9423716938167804	0.9363514548238896
huBERT	first	11	0.9448239621650026	0.939988514548239
huBERT	first	11	0.9456121912769312	0.9409456355283308
huBERT	first	12	0.9379926431949552	0.9340543644716692
huBERT	first	12	0.9400945874934314	0.9348200612557428
huBERT	first	12	0.9400070064809948	0.9351071975497705
huBERT	last	0	0.9210019267822736	0.8990237366003063
huBERT	last	0	0.92108950779471	0.8991194486983155
huBERT	last	0	0.9210019267822736	0.8999808575803981
huBERT	last	1	0.9650551760378352	0.9551110260336908
huBERT	last	1	0.9640917849010334	0.9531967840735068
huBERT	last	1	0.9640917849010334	0.9546324655436448
huBERT	last	2	0.9721492380451918	0.9681278713629404
huBERT	last	2	0.9723244000700648	0.9672664624808576
huBERT	last	2	0.9728498861446838	0.968989280245023
huBERT	last	3	0.974601506393414	0.9698506891271056
huBERT	last	3	0.9751269924680328	0.9692764165390504
huBERT	last	3	0.9743387633561044	0.9702335375191424
huBERT	last	4	0.9736381152566124	0.9661179173047472
huBERT	last	4	0.9730250481695568	0.9665964777947932
huBERT	last	4	0.9727623051322474	0.9659264931087288
huBERT	last	5	0.9715361709581364	0.9664050535987748
huBERT	last	5	0.9712734279208268	0.9658307810107196
huBERT	last	5	0.9714485899456998	0.9652565084226646
huBERT	last	6	0.9685584165352952	0.9662136294027563
huBERT	last	6	0.9691714836223508	0.966500765696784
huBERT	last	6	0.9694342266596602	0.9664050535987748
huBERT	last	7	0.9689963215974776	0.9650650842266464
huBERT	last	7	0.9691714836223508	0.9644908116385912
huBERT	last	7	0.9680329304606762	0.9647779479326188
huBERT	last	8	0.963478717813978	0.9605666156202144
huBERT	last	8	0.9646172709756524	0.9609494640122512
huBERT	last	8	0.964880014012962	0.960375191424196
huBERT	last	9	0.965405500087581	0.9556852986217458
huBERT	last	9	0.9640042038885972	0.955876722817764
huBERT	last	9	0.9647048519880892	0.9552067381317
huBERT	last	10	0.9590120861797162	0.9523353751914242
huBERT	last	10	0.9607637064284464	0.9523353751914242
huBERT	last	10	0.9606761254160098	0.95281393568147
huBERT	last	11	0.9571728849185496	0.95166539050536
huBERT	last	11	0.9579611140304782	0.9510911179173048
huBERT	last	11	0.9582238570677876	0.9533882082695252
huBERT	last	12	0.9536696444210896	0.9479326186830016
huBERT	last	12	0.953582063408653	0.945061255742726
huBERT	last	12	0.953231739358907	0.9478369065849924
mBERT	first	0	0.7546855841653529	0.7554555895865237
mBERT	first	0	0.7563496234016466	0.7567955589586524
mBERT	first	0	0.7542476791031705	0.7561255742725881
mBERT	first	1	0.7736906638640743	0.7737366003062787
mBERT	first	1	0.7743913119635663	0.7777565084226646
mBERT	first	1	0.7724645296899633	0.7748851454823891
mBERT	first	2	0.8088982308635487	0.8177641653905053
mBERT	first	2	0.8107374321247154	0.8171898928024502
mBERT	first	2	0.8097740409879138	0.814988514548239
mBERT	first	3	0.8892976002802593	0.891271056661562
mBERT	first	3	0.8881590471185847	0.8869640122511485
mBERT	first	3	0.8906113154668068	0.8869640122511485
